iter	Passed	Remaining
582	8057	19583
583	8072	19574
584	8087	19561
585	8101	19548
586	8115	19536
587	8129	19522
588	8144	19510
589	8158	19497
590	8175	19490
591	8187	19473
592	8202	19462
593	8217	19450
594	8235	19445
595	8249	19433
596	8263	19420
597	8277	19406
598	8291	19392
599	8307	19383
600	8321	19370
601	8337	19361
602	8351	19349
603	8367	19340
604	8381	19325
605	8397	19317
606	8411	19304
607	8429	19300
608	8445	19289
609	8462	19282
610	8476	19268
611	8490	19255
612	8503	19241
613	8518	19228
614	8534	19219
615	8549	19209
616	8566	19202
617	8582	19192
618	8600	19187
619	8615	19175
620	8629	19162
621	8644	19150
622	8657	19135
623	8670	19118
624	8682	19102
625	8695	19086
626	8708	19070
627	8722	19056
628	8736	19042
629	8749	19026
630	8762	19010
631	8776	18997
632	8792	18987
633	8805	18971
634	8818	18956
635	8831	18940
636	8844	18924
637	8858	18910
638	8871	18895
639	8884	18880
640	8897	18864
641	8911	18849
642	8923	18833
643	8937	18817
644	8953	18810
645	8967	18795
646	8981	18782
647	8994	18767
648	9008	18752
649	9021	18736
650	9034	18721
651	9047	18705
652	9059	18688
653	9073	18674
654	9086	18659
655	9099	18643
656	9113	18628
657	9125	18611
658	9140	18599
659	9156	18590
660	9169	18574
661	9182	18558
662	9195	18543
663	9208	18528
664	9222	18515
665	9236	18500
666	9248	18484
667	9261	18467
668	9275	18453
669	9288	18437
670	9301	18421
671	9315	18408
672	9329	18396
673	9343	18381
674	9356	18366
675	9370	18352
676	9384	18338
677	9398	18325
678	9412	18311
679	9426	18299
680	9441	18286
681	9456	18274
682	9471	18262
683	9485	18249
684	9504	18245
685	9519	18233
686	9534	18223
687	9549	18210
688	9564	18198
689	9578	18184
690	9592	18171
691	9607	18159
692	9621	18146
693	9636	18134
694	9651	18121
695	9668	18114
696	9683	18103
697	9701	18097
698	9716	18083
699	9731	18072
700	9745	18058
701	9760	18046
702	9774	18033
703	9788	18020
704	9803	18007
705	9817	17993
706	9834	17985
707	9848	17971
708	9865	17963
709	9879	17950
710	9894	17938
711	9909	17926
712	9927	17919
713	9942	17906
714	9956	17893
715	9971	17881
716	9985	17867
717	10001	17857
718	10016	17845
719	10032	17834
720	10047	17823
721	10063	17812
722	10079	17802
723	10093	17789
724	10109	17778
725	10124	17766
726	10137	17751
727	10152	17738
728	10166	17725
729	10181	17712
730	10196	17700
731	10210	17686
732	10224	17673
733	10239	17661
734	10252	17645
735	10266	17630
736	10279	17615
737	10292	17600
738	10306	17586
739	10318	17570
740	10332	17554
741	10345	17540
742	10358	17524
743	10372	17510
744	10385	17494
745	10398	17479
746	10412	17465
747	10427	17454
748	10441	17439
749	10454	17424
750	10468	17410
751	10484	17399
752	10498	17385
753	10513	17373
754	10527	17360
755	10542	17347
756	10560	17339
757	10574	17326
758	10590	17315
759	10606	17305
760	10622	17294
761	10638	17283
762	10655	17274
763	10670	17262
764	10684	17249
765	10699	17236
766	10715	17225
767	10730	17213
768	10747	17204
769	10762	17191
770	10777	17179
771	10793	17168
772	10808	17156
773	10825	17147
774	10840	17134
775	10857	17126
776	10873	17114
777	10888	17101
778	10902	17088
779	10916	17075
780	10931	17061
781	10946	17049
782	10964	17041
783	10979	17029
784	10995	17018
785	11010	17006
786	11028	16997
787	11042	16984
788	11057	16971
789	11072	16958
790	11090	16950
791	11104	16937
792	11119	16924
793	11135	16913
794	11155	16908
795	11170	16895
796	11185	16884
797	11200	16871
798	11215	16858
799	11231	16847
800	11246	16834
801	11262	16823
802	11277	16810
803	11292	16798
804	11307	16785
805	11324	16776
806	11339	16763
807	11358	16756
808	11374	16744
809	11389	16732
810	11404	16719
811	11418	16705
812	11432	16692
813	11447	16679
814	11462	16666
815	11476	16652
816	11490	16638
817	11506	16626
818	11521	16614
819	11536	16600
820	11550	16587
821	11565	16574
822	11580	16561
823	11594	16547
824	11608	16533
825	11622	16519
826	11636	16504
827	11649	16489
828	11662	16474
829	11676	16459
830	11690	16446
831	11704	16431
832	11717	16415
833	11731	16400
834	11744	16386
835	11757	16370
836	11771	16356
837	11784	16341
838	11798	16325
839	11811	16310
840	11823	16294
841	11836	16278
842	11849	16263
843	11864	16250
844	11878	16236
845	11892	16222
846	11906	16207
847	11919	16191
848	11932	16177
849	11946	16162
850	11959	16147
851	11973	16132
852	11986	16117
853	11999	16101
854	12012	16086
855	12025	16071
856	12039	16057
857	12054	16045
858	12069	16031
859	12082	16016
860	12095	16000
861	12109	15986
862	12122	15971
863	12136	15957
864	12149	15941
865	12162	15926
866	12175	15910
867	12188	15895
868	12201	15880
869	12215	15866
870	12230	15852
871	12245	15840
872	12258	15824
873	12272	15810
874	12285	15795
875	12299	15781
876	12312	15766
877	12324	15749
878	12337	15734
879	12350	15718
880	12363	15703
881	12376	15688
882	12388	15672
883	12403	15658
884	12417	15644
885	12432	15631
886	12445	15617
887	12459	15602
888	12471	15586
889	12484	15571
890	12498	15555
891	12510	15540
892	12523	15524
893	12536	15509
894	12549	15494
895	12563	15480
896	12577	15465
897	12592	15452
898	12606	15439
899	12620	15424
900	12633	15409
901	12647	15395
902	12660	15380
903	12674	15366
904	12687	15351
905	12701	15337
906	12714	15321
907	12726	15306
908	12740	15291
909	12753	15276
910	12766	15261
911	12781	15248
912	12796	15235
913	12809	15220
914	12822	15205
915	12836	15190
916	12849	15175
917	12862	15160
918	12875	15145
919	12889	15130
920	12902	15116
921	12916	15101
922	12929	15086
923	12943	15072
924	12957	15058
925	12973	15046
926	12986	15031
927	12999	15016
928	13012	15000
929	13026	14987
930	13038	14971
931	13051	14956
932	13066	14942
933	13079	14927
934	13092	14913
935	13106	14898
936	13118	14882
937	13132	14868
938	13146	14854
939	13162	14842
940	13176	14828
941	13189	14813
942	13202	14798
943	13215	14782
944	13229	14769
945	13242	14754
946	13256	14740
947	13269	14725
948	13283	14711
949	13297	14696
950	13310	14681
951	13327	14671
952	13342	14658
953	13356	14644
954	13370	14630
955	13383	14615
956	13396	14600
957	13409	14585
958	13423	14571
959	13437	14556
960	13450	14542
961	13463	14527
962	13476	14512
963	13489	14496
964	13504	14484
965	13520	14471
966	13533	14456
967	13546	14441
968	13560	14427
969	13573	14412
970	13585	14397
971	13599	14382
972	13612	14367
973	13626	14353
974	13638	14338
975	13652	14323
976	13665	14308
977	13678	14293
978	13693	14280
979	13709	14268
980	13724	14256
981	13739	14243
982	13755	14230
983	13769	14217
984	13783	14203
985	13798	14190
986	13815	14179
987	13829	14165
988	13843	14151
989	13858	14138
990	13872	14124
991	13887	14111
992	13903	14099
993	13917	14085
994	13931	14071
995	13944	14056
996	13959	14043
997	13973	14029
998	13987	14015
999	14003	14003
1000	14017	13989
1001	14033	13977
1002	14047	13963
1003	14064	13952
1004	14079	13939
1005	14093	13925
1006	14107	13911
1007	14121	13896
1008	14135	13882
1009	14148	13867
1010	14161	13853
1011	14174	13838
1012	14187	13823
1013	14201	13809
1014	14216	13796
1015	14230	13782
1016	14245	13769
1017	14260	13755
1018	14274	13741
1019	14288	13728
1020	14302	13714
1021	14315	13699
1022	14328	13684
1023	14341	13669
1024	14356	13656
1025	14370	13641
1026	14383	13627
1027	14396	13612
1028	14410	13598
1029	14426	13585
1030	14440	13572
1031	14454	13557
1032	14468	13543
1033	14482	13529
1034	14495	13514
1035	14508	13500
1036	14522	13485
1037	14535	13471
1038	14549	13456
1039	14562	13442
1040	14575	13427
1041	14588	13412
1042	14603	13399
1043	14618	13386
1044	14632	13371
1045	14645	13357
1046	14658	13342
1047	14671	13327
1048	14684	13312
1049	14697	13298
1050	14711	13284
1051	14725	13269
1052	14739	13255
1053	14752	13240
1054	14765	13225
1055	14783	13215
1056	14797	13201
1057	14812	13188
1058	14826	13174
1059	14840	13160
1060	14853	13145
1061	14866	13130
1062	14880	13116
1063	14893	13102
1064	14907	13087
1065	14920	13073
1066	14934	13058
1067	14947	13044
1068	14962	13031
1069	14978	13018
1070	14991	13004
1071	15005	12989
1072	15018	12974
1073	15034	12962
1074	15046	12947
1075	15059	12932
1076	15073	12917
1077	15086	12903
1078	15100	12888
1079	15113	12874
1080	15126	12859
1081	15139	12844
1082	15153	12830
1083	15168	12817
1084	15182	12803
1085	15196	12789
1086	15210	12775
1087	15223	12760
1088	15236	12746
1089	15249	12731
1090	15262	12716
1091	15275	12701
1092	15288	12687
1093	15302	12672
1094	15315	12658
1095	15331	12645
1096	15346	12632
1097	15359	12618
